voc_id,building_id,voc_date,title,request_contents,building_floor_name,zone_name,reply,reply_write_date,user_group_name,reply_writer,title_clean,all_text,주제 대분류,주제 중분류,작업유형 대분류,작업유형 중분류,주제_score,작업유형_score,run_id,tagged_at
7283,95,2025-12-01 09:34:00,1층 여자 화장실 양변기 배수 상태 점검,<p>1층 여자 화장실 양변기 배수 상태 점검<br></p>,1F,화장실(여),<p>1층 여자 화장실 양변기 배수 상태 점검&nbsp; 양호<br></p>,2025-12-01 12:26:51.514606,시설,주민재,1층 여자 화장실 양변기 배수 상태 점검,1층 여자 화장실 양변기 배수 상태 점검 1층 여자 화장실 양변기 배수 상태 점검 1층 여자 화장실 양변기 배수 상태 점검 양호,시설,급배수/위생,점검,상태점검,11.100000000000001,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7284,95,2025-12-01 09:35:00,3층 남자 화장실 소변기 배수 상태 점검,<p>3층 남자 화장실 소변기 배수 상태 점검<br></p>,3F,화장실(남),<p>3층 남자 화장실 소변기 배수 상태 점검&nbsp; 양호<br></p>,2025-12-01 12:27:08.772020,시설,주민재,3층 남자 화장실 소변기 배수 상태 점검,3층 남자 화장실 소변기 배수 상태 점검 3층 남자 화장실 소변기 배수 상태 점검 3층 남자 화장실 소변기 배수 상태 점검 양호,시설,급배수/위생,점검,상태점검,7.199999999999999,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7285,95,2025-12-01 09:36:00,4층 남자 화장실 세면대 배수 상태 확인,<p>4층 남자 화장실 세면대 배수 상태 확인<br></p>,4F,화장실(남),<p>4층 남자 화장실 세면대 배수 상태 확인&nbsp; 양호<br></p>,2025-12-01 12:27:24.955121,시설,주민재,4층 남자 화장실 세면대 배수 상태 확인,4층 남자 화장실 세면대 배수 상태 확인 4층 남자 화장실 세면대 배수 상태 확인 4층 남자 화장실 세면대 배수 상태 확인 양호,시설,급배수/위생,작업,교체,7.5,3.9000000000000004,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7286,95,2025-12-01 09:36:00,5층 여자 화장실 양변기 배수 상태 확인,<p>5층 여자 화장실 양변기 배수 상태 확인<br></p>,5F,화장실(여),<p>5층 여자 화장실 양변기 배수 상태 확인&nbsp; 양호<br></p>,2025-12-01 12:27:41.472689,시설,주민재,5층 여자 화장실 양변기 배수 상태 확인,5층 여자 화장실 양변기 배수 상태 확인 5층 여자 화장실 양변기 배수 상태 확인 5층 여자 화장실 양변기 배수 상태 확인 양호,시설,급배수/위생,청소/정리,청소/정리,11.100000000000001,3.9000000000000004,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7292,95,2025-12-01 15:20:00,9층 공용부 남자화장실 천정등 미점등부 램프 교체 작업,<p>9층 공용부 남자화장실 천정등 미점등부 램프 교체 작업<br></p>,9F,화장실(남),<p>작업 완료 - 현재 양호</p>,2025-12-01 15:21:28.431089,시설,박우현,9층 공용부 남자화장실 천정등 미점등부 램프 교체 작업,9층 공용부 남자화장실 천정등 미점등부 램프 교체 작업 9층 공용부 남자화장실 천정등 미점등부 램프 교체 작업 작업 완료 - 현재 양호,환경,청결/미화,작업,교체,3.9000000000000004,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7302,95,2025-12-02 11:55:00,7층 남자 화장실 소변기 배수 상태 점검,<p>7층 남자 화장실 소변기 배수 상태 점검<br></p>,7F,화장실(남),<p>7층 남자 화장실 소변기 배수 상태 점검&nbsp; 양호<br></p>,2025-12-02 14:09:09.646483,시설,주민재,7층 남자 화장실 소변기 배수 상태 점검,7층 남자 화장실 소변기 배수 상태 점검 7층 남자 화장실 소변기 배수 상태 점검 7층 남자 화장실 소변기 배수 상태 점검 양호,시설,급배수/위생,점검,상태점검,7.199999999999999,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7303,95,2025-12-02 11:56:00,8층 남자 화장실 양변기 배수 상태 점검,<p>8층 남자 화장실 양변기 배수 상태 점검<br></p>,8F,화장실(남),<p>8층 남자 화장실 양변기 배수 상태 점검&nbsp; 양호<br></p>,2025-12-02 14:09:26.032491,시설,주민재,8층 남자 화장실 양변기 배수 상태 점검,8층 남자 화장실 양변기 배수 상태 점검 8층 남자 화장실 양변기 배수 상태 점검 8층 남자 화장실 양변기 배수 상태 점검 양호,시설,급배수/위생,점검,상태점검,11.100000000000001,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7304,95,2025-12-02 11:56:00,4층 여자 화장실 세면대 배수 상태 확인,<p>4층 여자 화장실 세면대 배수 상태 확인<br></p>,4F,화장실(여),<p>4층 여자 화장실 세면대 배수 상태 확인&nbsp; 양호<br></p>,2025-12-02 14:09:43.553283,시설,주민재,4층 여자 화장실 세면대 배수 상태 확인,4층 여자 화장실 세면대 배수 상태 확인 4층 여자 화장실 세면대 배수 상태 확인 4층 여자 화장실 세면대 배수 상태 확인 양호,시설,급배수/위생,작업,교체,7.5,3.9000000000000004,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7305,95,2025-12-02 11:57:00,3층 여자 화장실 양변기 배수 상태 확인,<p>3층 여자 화장실 양변기 배수 상태 확인<br></p>,3F,화장실(여),<p>3층 여자 화장실 양변기 배수 상태 확인&nbsp; 양호<br></p>,2025-12-02 14:10:02.329717,시설,주민재,3층 여자 화장실 양변기 배수 상태 확인,3층 여자 화장실 양변기 배수 상태 확인 3층 여자 화장실 양변기 배수 상태 확인 3층 여자 화장실 양변기 배수 상태 확인 양호,시설,급배수/위생,청소/정리,청소/정리,11.100000000000001,3.9000000000000004,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
7317,95,2025-12-03 10:30:00,"4F 여자화장실, 복도 천정등 램프 교체 작업","<p>4F 여자화장실, 복도 천정등 램프 교체 작업<br></p>",4F,화장실(여),"<p>4F 여자화장실, 복도 천정등 램프 교체 작업 - 완료<br></p>",2025-12-03 16:46:53.204646,시설,오대석,"4F 여자화장실, 복도 천정등 램프 교체 작업","4F 여자화장실, 복도 천정등 램프 교체 작업 4F 여자화장실, 복도 천정등 램프 교체 작업 4F 여자화장실, 복도 천정등 램프 교체 작업 - 완료",환경,청결/미화,작업,교체,3.9000000000000004,7.199999999999999,auto_20260114_143713,2026-01-14T14:37:15.876171+09:00
